dataset,test_auc,test_ap,lr,train_snapshot,test_snapshot,seed,best_epoch,time
ARC,0.6872340425531915,0.5880756091508836,0.00015,406,87,710,1,25.31677109998418
ARC,0.699468085106383,0.6026671545795174,0.00015,406,87,720,1,25.07731560000684
ARC,0.6,0.5462229395090217,0.00015,406,87,800,1,25.111404999974184
unnamedtoken216800x389999216860ab8e0175387a0c90e5c52522c945,0.4453734671125976,0.4116996454490896,0.00015,686,147,710,249,36107.507264000014
unnamedtoken221330xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,0.268065268065268,0.4444776390337728,0.00015,336,72,710,99,4432.958645000006
unnamedtoken221330xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,0.2905982905982905,0.4552298415983834,0.00015,336,72,720,245,6129.582305500022
unnamedtoken221330xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,0.2944832944832944,0.4597400717773491,0.00015,336,72,800,100,4824.570322399988
unnamedtoken18980x00a8b738e453ffd858a7edf03bccfe20412f0eb0,0.7351220208363064,0.6951387613522754,0.00015,784,168,800,105,9818.0576053
unnamedtoken18980x00a8b738e453ffd858a7edf03bccfe20412f0eb0,0.7825032110746396,0.7743286692074738,0.00015,784,168,800,221,18868.663734800008
